Type,STORE ADDRESS,CITY,STATE,ZIP CODE,Latitude,Longitude,Location
Store,15000 U.S. 31,Grand Haven,MI,49417,43.039514,-86.217733,"43.039514, -86.217733"
Store,100 Polaris Parkway,Westerville,OH,43082,40.150154,-82.925664,"40.150154, -82.925664"
Store,855 S. Randall Rd.,St. Charles,IL,60174,41.900783,-88.343732,"41.900783, -88.343732"
Store,815 S. Randall Rd.,Elgin,IL,60123,42.011939,-88.333809,"42.011939, -88.333809"
Store,"351 Meijer Way, Suite 100",Lexington,KY,40503,37.995924,-84.531518,"37.995924, -84.531518"
Store,800 Brown Rd.,Auburn Hills,MI,48326,42.705675,-83.28715,"42.705675, -83.28715"
Store,2636 US52 (Sagamore Pky),West Lafayette,IN,47906,40.469964,-86.956781,"40.469964, -86.956781"
Store,595 N. Pine Rd.,Bay City,MI,48708,43.582718,-83.837018,"43.582718, -83.837018"
Store,13000 Middlebelt Rd.,Livonia,MI,48150,42.377513,-83.330841,"42.377513, -83.330841"
Store,137 Elliott Rd.,Defiance,OH,43512,41.310194,-84.358439,"41.310194, -84.358439"
Store,2990 North Wayne St.,Angola,IN,46703,41.669454,-84.996885,"41.669454, -84.996885"
Store,1195 M-89,Plainwell,MI,49080,42.428483,-85.544634,"42.428483, -85.544634"
Store,2013 McFarland Rd,Rockford,IL,61107,42.293423,-88.976146,"42.293423, -88.976146"
Store,3900 W. US Hwy 10,Ludington,MI,49431,43.958257,-86.377239,"43.958257, -86.377239"
Store,1167 E. Clinton Trl,Charlotte,MI,48813,42.55324,-84.817515,"42.55324, -84.817515"
Store,6405 B Drive North,Battle Creek,MI,49014,42.413724,-85.202045,"42.413724, -85.202045"
Store,8850 Shaver Rd.,Portage,MI,49024,42.188198,-85.601165,"42.188198, -85.601165"
Store,900 N. Lapeer Rd.,Oxford,MI,48371,42.839374,-83.270363,"42.839374, -83.270363"
Store,130 S. Gary Ave.,Bloomingdale,IL,60108,41.953535,-88.121112,"41.953535, -88.121112"
Store,1801 Marketplace Dr. S.E.,Caledonia,MI,49316,42.846244,-85.619641,"42.846244, -85.619641"
Store,606 S. Greenville West Dr.,Greenville,MI,48838,43.180961,-85.277798,"43.180961, -85.277798"
Store,15400 Waldron Way,Big Rapids,MI,49307,43.69808,-85.48366,"43.69808, -85.48366"
Store,10509 Heartland Blvd.,Camby,IN,46113,39.637715,-86.335691,"39.637715, -86.335691"
Store,11901 Fulton St. E.,Lowell,MI,49331,42.930578,-85.37894,"42.930578, -85.37894"
Store,400 S. Randall Rd.,Algonquin,IL,60102,42.170239,-88.338008,"42.170239, -88.338008"
Store,1900 E. College Ave.,Normal,IL,61761,40.512543,-88.946443,"40.512543, -88.946443"
Store,3710 Dix Highway,Lincoln Park,MI,48146,42.231985,-83.196246,"42.231985, -83.196246"
Store,12821 Cross Over Dr.,DeWitt,MI,48820,42.850546,-84.54509,"42.850546, -84.54509"
Store,730 E. Saginaw Hwy,Grand Ledge,MI,48837,42.741,-84.740976,"42.741, -84.740976"
Store,10055 Olde US 20,Rossford,OH,43460,41.546458,-83.589435,"41.546458, -83.589435"
Store,8000 East Broad St.,Reynoldsburg,OH,43068,39.987782,-82.787952,"39.987782, -82.787952"
Store,9515 Birch Run Road,Birch Run,MI,48415,43.250383,-83.764733,"43.250383, -83.764733"
Store,13521 S. Route 59,Plainfield,IL,60544,41.635008,-88.200298,"41.635008, -88.200298"
Store,755 E. Boughton Rd.,Bolingbrook,IL,60440,41.721221,-88.036443,"41.721221, -88.036443"
Store,"315 Wilson Ave., N.W.",Grand Rapids,MI,49534,42.966049,-85.778361,"42.966049, -85.778361"
Store,3320 W. Shore Drive,Holland,MI,49424,42.828785,-86.090927,"42.828785, -86.090927"
Store,2253 N. Richmond Rd.,McHenry,IL,60050,42.359932,-88.270884,"42.359932, -88.270884"
Store,14169 S. Bell Rd.,Homer Glen,IL,60491,41.630788,-87.928411,"41.630788, -87.928411"
Store,4222 Charlestown Rd.,New Albany,IN,47150,38.349299,-85.793155,"38.349299, -85.793155"
Store,"3434 Century Center St., S.W.",Grandville,MI,49418,42.879697,-85.7486,"42.879697, -85.7486"
Store,1005 E. 13 Mile Rd.,Madison Heights,MI,48071,42.520914,-83.094985,"42.520914, -83.094985"
Store,6550 Harrison Ave.,Cincinnati,OH,45247,39.195968,-84.662156,"39.195968, -84.662156"
Store,3195 Geier Drive,Cincinnati,OH,45209,39.161923,-84.427433,"39.161923, -84.427433"
Store,"2799 10 Mile Rd., N.E.",Rockford,MI,49341,43.119958,-85.602279,"43.119958, -85.602279"
Store,6001 Highland Rd.,White Lake,MI,48383,42.650032,-83.530074,"42.650032, -83.530074"
Store,1301 Meijer Drive,Rolling Meadows,IL,60008,42.047942,-87.996297,"42.047942, -87.996297"
Store,205 S. Range Rd.,Marysville,MI,48040,42.908846,-82.49729,"42.908846, -82.49729"
Store,17000 Mercantile Blvd.,Noblesville,IN,46060,40.035277,-85.991408,"40.035277, -85.991408"
Store,28800 Telegraph Rd.,Southfield,MI,48034,42.500155,-83.282356,"42.500155, -83.282356"
Store,5300 Harvey St.,Muskegon,MI,49444,43.156421,-86.202962,"43.156421, -86.202962"
Store,3565 Fairlane Drive,Allen Park,MI,48101,42.278868,-83.204136,"42.278868, -83.204136"
Store,2811 London-Groveport Rd.,Grove City,OH,43123,39.837059,-83.080729,"39.837059, -83.080729"
Store,930 Coleman's Crossing Blvd.,Marysville,OH,43040,40.228226,-83.33699,"40.228226, -83.33699"
Store,4900 M 72 E,Williamsburg,MI,49690,44.764942,-85.261488,"44.764942, -85.261488"
Store,29505 Mound Rd.,Warren,MI,48092,42.509873,-83.049407,"42.509873, -83.049407"
Store,2700 Route 34,Oswego,IL,60543,41.699449,-88.31067,"41.699449, -88.31067"
Store,3711 Stonecreek Blvd.,Cincinnati,OH,45251,39.15643,-84.418023,"39.15643, -84.418023"
Store,7150 Executive Blvd.,Huber Heights,OH,45424,39.868933,-84.103241,"39.868933, -84.103241"
Store,36865 26 Mile Rd.,Lenox,MI,48048,42.72248474,-82.74174097,"42.7224847375709, -82.7417409655789"
Store,40445 S. Groesbeck Hwy.,Clinton Twp.,MI,48036,42.596561,-82.903772,"42.596561, -82.903772"
Store,8089 Lapeer Road,Davison,MI,48423,43.013849,-83.552458,"43.013849, -83.552458"
Store,2160 Hartland Rd.,Hartland,MI,48353,42.638729,-83.744285,"42.638729, -83.744285"
Store,8300 Meijer Drive,Canal Winchester,OH,43110,39.84925,-82.777774,"39.84925, -82.777774"
Store,2500 Philo Road,Urbana,IL,61802,40.086033,-88.18737,"40.086033, -88.18737"
Store,"3700 17 Mile Rd., N.E.",Cedar Springs,MI,49319,43.217173,-85.579176,"43.217173, -85.579176"
Store,1380 Sunbury Rd.,Delaware,OH,43015,40.290264,-83.031955,"40.290264, -83.031955"
Store,250 Meijer Drive,Gaylord,MI,49735,45.02463916,-84.72333455,"45.024639161288, -84.7233345481149"
Store,5019 Red Arrow Hwy,Stevensville,MI,49127,42.027279,-86.517994,"42.027279, -86.517994"
Store,7157 E. Saginaw St.,East Lansing,MI,48823,42.770695,-84.41922,"42.770695, -84.41922"
Store,4075 32nd Ave,Hudsonville,MI,49426,42.843771,-85.861732,"42.843771, -85.861732"
Store,400 Dan Jones Rd.,Plainfield,IN,46168,39.712727,-86.383664,"39.712727, -86.383664"
Store,1201 Lears Road,Petoskey,MI,49770,45.346711,-84.96433,"45.346711, -84.96433"
Store,2013 Lantern Ridge Dr.,Richmond,KY,40475,37.737897,-84.333288,"37.737897, -84.333288"
Store,4141 Morrish Rd.,Swartz Creek,MI,48473,42.968792,-83.828274,"42.968792, -83.828274"
Store,3610 Marketplace Circle,Rochester Hills,MI,48309,42.643445,-83.2059,"42.643445, -83.2059"
Store,15701 S. 71st Ct.,Orland Park,IL,60462,41.604758,-87.790823,"41.604758, -87.790823"
Store,9200 S. Western Ave.,Evergreen Park,IL,60805,41.726434,-87.686833,"41.726434, -87.686833"
Store,6050 US Highway 6,Portage,IN,46368,41.552357,-87.180766,"41.552357, -87.180766"
Store,1200 Lake City Hwy,Warsaw,IN,46580,41.260509,-85.841038,"41.260509, -85.841038"
Store,1301 W. Eight Mile Rd.,Detroit,MI,48203,42.444398,-83.119986,"42.444398, -83.119986"
Store,3649 N. Vermilion St.,Danville,IL,61832,40.191178,-87.629328,"40.191178, -87.629328"
Store,2805 West Cheesman Rd.,Alma,MI,48801,43.400566,-84.661809,"43.400566, -84.661809"
Store,1223 Phoenix St.,South Haven,MI,49090,42.403625,-86.257395,"42.403625, -86.257395"
Store,1676 Westpark Dr.,Bowling Green,KY,42104,36.955759,-86.437585,"36.955759, -86.437585"
Store,11305 Lincoln Highway,Mokena,IL,60448,41.499911,-87.889707,"41.499911, -87.889707"
Store,1600 N. Port Washington Rd,Grafton,WI,53024,43.335516,-87.925328,"43.335516, -87.925328"
Store,N51 W 24953 Lisbon,Pewaukee,WI,53072,43.110766,-88.242816,"43.110766, -88.242816"
Store,801 E Sunset Drive,Waukesha,WI,53189,42.986357,-88.219108,"42.986357, -88.219108"
Store,11111 W Burleigh St,Wauwatosa,WI,53222,43.073285,-88.050807,"43.073285, -88.050807"
Store,26100 Vreeland Rd,Flat Rock,MI,48134,42.110666,-83.28941,"42.110666, -83.28941"
Store,15 Caberfae Hwy,Manistee,MI,49660,44.268089,-86.298994,"44.268089, -86.298994"
Store,3800 Vollmer Rd,Flossmoor,IL,60422,41.528104,-87.70769,"41.528104, -87.70769"
Store,1770 West Lane Rd,Machesney Park,IL,61115,42.368335,-89.011553,"42.368335, -89.011553"
Store,1251 M 32 W,Alpena,MI,49707,45.033143,-83.495091,"45.033143, -83.495091"
Store,171 W. Town Square Way,Oak Creek,WI,53154,42.898575,-87.914719,"42.898575, -87.914719"
Store,7701 Green Bay Rd,Kenosha,WI,53142,42.564403,-87.887616,"42.564403, -87.887616"
Store,5600 New Margaret Ave,Terre Haute,IN,47803,39.442539,-87.329982,"39.442539, -87.329982"
Store,21431 Grand River Ave,Detroit,MI,48219,42.4121,-83.252751,"42.4121, -83.252751"
Store,2622 Menards Dr,Evansville,IN,47715,38.001322,-87.495317,"38.001322, -87.495317"
Store,2951 Heartland Crossing Blvd,Owensboro,KY,42303,37.75576,-87.075575,"37.75576, -87.075575"
Store,750 E. Rollins Rd,Round Lake Beach,IL,60073,42.381653,-88.06645,"42.381653, -88.06645"
Store,"5550 N, Keystone Ave",Indianapolis,IN,46220,39.853393,-86.124254,"39.853393, -86.124254"
Store,408 W South St,Sturgis,MI,49091,41.788804,-85.424508,"41.788804, -85.424508"
Store,5800 W Layton Ave,Greenfield,WI,53220,42.961249,-87.986363,"42.961249, -87.986363"
Store,1138 W 3 Mile Rd,Sault Sainte Marie,MI,49783,46.463063,-84.387717,"46.463063, -84.387717"
Store,505 N 26th St,Escanaba,MI,49829,45.768287,-87.084739,"45.768287, -87.084739"
Store,2390 N Morton St,Franklin,IN,46131,39.505462,-86.073321,"39.505462, -86.073321"
Store,6939 W Broadway,McCordsville,IN,46055,39.885539,-85.935502,"39.885539, -85.935502"
Store,405 Porters Vale Boulevard,Valparaiso,IN,46383,41.472437,-87.018749,"41.472437, -87.018749"
Store,2015 Shawano Ave,Green Bay,WI,54303,44.535122,-88.07689,"44.535122, -88.07689"
Store,2180 S Main St,West Bend,WI,53095,43.39394,-88.184577,"43.39394, -88.184577"
Store,3801 N Richmond Street,Appleton,WI,54913,44.300352,-88.417621,"44.300352, -88.417621"
Store,990 N Kinzie Ave,Bradley,IL,60915,41.158375,-87.848385,"41.158375, -87.848385"
Store,3630 US-41 West,Marquette,MI,49855,46.549492,-87.466535,"46.549492, -87.466535"
Store,2770 S. State Rd.,Ionia,MI,48846,42.946039,-85.074868,"42.946039, -85.074868"
Store,1818 S Rapids Rd,Manitowoc,WI,54220,44.076358,-87.711357,"44.076358, -87.711357"
Store,924 North Taylor Drive,Sheboygan,WI,53081,43.754583,-87.750926,"43.754583, -87.750926"
